Course ID,Department,Course Number,Course Name,Cross-listed,Required?,Capstone?,Prerequisites,Offered When?,Credit hours
91892,MATH,125,Epidemiology,N/A,0,0,N/A,Every semester,4
91893,MATH,135,Applied Multivariable Calculus I,N/A,0,0,N/A,Every semester,4
91895,MATH,137,Applied Multivariable Calculus II,N/A,0,0,MATH 135   ,Every semester,4
91897,MATH,155,Introduction to Statistical Modeling,N/A,1,0,N/A,Every semester,4
91903,MATH,212,Philosophy of Mathematics,PHIL 312,0,0,"PHIL 111,MATH 279",Alternate years,4
91900,MATH,236,Linear Algebra,N/A,1,0,MATH 279/MATH 137,Every semester,4
91901,MATH,237,Multivariable Calculus,N/A,1,0,MATH 137,Every semester,4
91902,MATH,253,Statistical Computing and Machine Learning,N/A,0,0,MATH 155 ,Every semester,4
91894,MATH,279,Discrete Mathematics,N/A,1,0,N/A,Every semester,4
91906,MATH,312,Differential Equations,N/A,0,0," MATH 236,MATH 237",Every semester,4
91911,MATH,313,Advanced Symbolic Logic,PHIL 313 ,0,0, PHIL 111/MATH 279,Alternate years,4
91908,MATH,354,Probability,N/A,0,0," MATH 137,MATH 236/MATH 237",Every semester,4
91909,MATH,361,Theory of Computation,COMP 261,0,0,"COMP 124,MATH 279",Every spring,4
91910,MATH,365,Computational Linear Algebra,COMP 365 ,0,0,"COMP 120/COMP 123,MATH 236  ",Every spring,4
91914,MATH,376,Algebraic Structures,N/A,0,0," MATH 279,MATH 236 ",Every spring,4
91915,MATH,377,Real Analysis,N/A,0,0, MATH 237,Every fall,4
91926,MATH,378,Complex Analysis,N/A,0,0,MATH 236/MATH 237,Even spring,4
91916,MATH,379,Combinatorics,N/A,0,0,"MATH 279,MATH 237 ",Odd fall,4
91919,MATH,432,Mathematical Modeling,N/A,0,1,"MATH 312/MATH 365,COMP 120/COMP 123",Odd fall,4
91920,MATH,437,Topics in Applied Mathematics,N/A,0,1,"MATH 312/MATH 365,COMP 120/COMP 123/COMP 124",Odd spring,4
91907,MATH,453,Survival Analysis,N/A,0,1,"MATH 155,MATH 354",Even year,4
91921,MATH,455,Mathematical Statistics,N/A,0,1,MATH 354 ,Even spring,4
91923,MATH,471,Topology,N/A,0,1,"MATH 365,MATH 376,MATH 377  ",Odd spring,4
91924,MATH,476,Representation Theory,N/A,0,1,MATH 376,Odd fall,4
91925,MATH,477,Projects in Analysis,N/A,0,1,MATH 377 ,Even spring,4
91922,MATH,479,Network Science,COMP 479 ,0,1, MATH 236/MATH 379,Even fall,4
